"ΑΑ","netlib","n","m","n.b","spA","spB","spC","Mac50","Mac90","Lambda50","Lambda90","RAD50","RAD90","GRAD50","GRAD90","minML50","minML90","mML50","mML90","gmML50","gmML90"
"1","25fv47",1876,821,0.778319123020706,0.00695041410314012,0.349573690621194,0.387526652452026,0.487819732034105,0.487819732034105,0.32095006090134,0.897929354445798,0.496954933008526,0.886967113276492,0.493300852618758,0.872594397076736,0.33270202020202,0.505681818181818,0.414481897627965,0.714044943820225,0.405589281841042,0.681251349426718
"2","adlittle",138,56,0.821428571428571,0.0548654244306418,0.660714285714286,0.594202898550725,0.5,0.945454545454545,0.464285714285714,0.866071428571429,0.419642857142857,0.883928571428571,0.455357142857143,0.892857142857143,0.445454545454545,0.5,0.509090909090909,0.697727272727273,0.486082494464829,0.667284751333119
"3","afiro",51,27,0.851851851851852,0.0740740740740741,0.259259259259259,0.0980392156862745,0.462962962962963,0.925925925925926,0.388888888888889,0.7,0.592592592592593,0.592592592592593,1,1,0.42,0.484,0.450980392156863,0.696078431372549,0.449358517136458,0.647452690330841
"4","agg",615,488,0.145491803278689,0.00953618552578972,0.885245901639344,0.213008130081301,0.471311475409836,0.471311475409836,0.0573770491803279,0.834016393442623,0.163934426229508,0.979508196721312,0.233606557377049,0.979508196721312,0.0845921450151057,0.694864048338369,0.323713927227102,0.795483061480552,0.204331808299619,0.776153544840766
"5","agg2",758,516,0.158914728682171,0.0121187948702215,0.914728682170543,0.304749340369393,0.468992248062016,0.468992248062016,0.381782945736434,0.962403100775194,0.256782945736434,0.978488372093023,0.163759689922481,0.974612403100775,0.456460674157303,0.679775280898876,0.494705882352941,0.868941176470588,0.47262738402302,0.826629554457249
"6","agg3",758,516,0.14922480620155,0.012159702194678,0.905038759689923,0.304749340369393,0.468992248062016,0.468992248062016,0.707364341085271,0.95968992248062,0.213178294573643,0.971705426356589,0.135658914728682,0.969767441860465,0.68169014084507,0.68169014084507,0.722025912838634,0.876325088339223,0.715512107103706,0.832301350502302
"7","beaconfd",295,173,0.641618497109827,0.0667777015773489,0.38728323699422,0.342372881355932,0.427745664739884,0.427745664739884,0.309248554913295,0.751445086705202,0.609826589595376,0.609826589595376,0.327160493827161,0.783950617283951,0.722972972972973,1,0.516194331983806,0.8582995951417,0.556101209235598,0.866859323480576
"8","blend",114,74,0.810810810810811,0.061877667140825,0.108108108108108,0.263157894736842,0.428571428571429,0.850340136054422,0.439189189189189,0.483108108108109,0.47972972972973,0.895945945945946,0.547297297297297,0.893243243243243,0.504,0.52,0.47940074906367,0.771535580524345,0.480316796866519,0.718566648383443
"9","bnl1",1586,643,0.794712286158631,0.00542460369602604,0.429237947122862,0.635561160151324,0.502332814930016,0.502332814930016,0.500777604976672,0.908242612752722,0.506998444790047,0.908242612752722,0.494556765163297,0.909797822706065,0.760095011876485,0.767220902612827,0.604891815616181,0.855126999059266,0.618397447578418,0.836838220361506
"10","bnl2",4486,2324,0.816265060240964,0.00143840120689109,0.189759036144578,0.473695942933571,0.500430292598967,0.500430292598967,0.55421686746988,0.9184165232358,0.558304647160069,0.877969018932874,0.401678141135972,0.894363166953528,1,1,0.704330369945512,0.94620017206768,0.74474637298133,0.958789391028965
"11","brandy",303,220,0.886363636363636,0.0330333033303329,0.245454545454545,0.00660066006600657,0.438636363636364,0.895454545454546,0.315909090909091,0.911818181818182,1,1,0.498861047835991,0.498861047835991,0.399425287356322,0.554597701149425,0.431729518855657,0.780494148244473,0.429702809038128,0.73546898455234
"12","capri",482,271,0.785977859778598,0.014515165898547,0.47970479704797,0.0394190871369295,0.455719557195572,0.92619926199262,0.564575645756458,0.94280442804428,0.48975791433892,0.932960893854749,0.481549815498155,0.920664206642066,0.539301310043668,0.539301310043668,0.594791666666667,0.819375,0.567707336175964,0.761376959280666
"13","cre_a",7248,3516,0.931740614334471,0.000712918804481322,0.0878839590443686,0.561120309050773,0.499004550625711,0.499004550625711,0.429323094425483,0.905432309442548,0.483361774744027,0.897468714448237,0.489746163774559,0.91008174386921,0.471129837702871,0.547596754057428,0.485714285714286,0.735267857142857,0.484866922927606,0.704470739874977
"14","cre_c",6411,3068,0.926010430247718,0.00081229560421836,0.103650586701434,0.573701450631727,0.5,0.5,0.423402868318123,0.906616688396349,0.492340286831812,0.897653194263364,0.490885202824766,0.913286253900476,0.446698762035763,0.527510316368638,0.474062918340027,0.722138554216867,0.47259854106618,0.691555967453861
"15","czprob",3562,929,0.983853606027987,0.00323592713180454,0.925726587728741,0.983717012914093,0.501614639397201,0.501614639397201,0.498923573735199,0.897416576964478,0.497847147470398,0.897416576964478,0.49811320754717,0.896495956873315,0.990343347639485,1,0.666308243727599,0.93168458781362,0.704819637358095,0.947320700271655
